Date,Close,High,Low,Open,Volume
2010-02-11,9539203.0,10068332.602624057,9456177.980384516,9971676.609638866,0
2010-02-12,9459898.0,9830412.736966204,9411569.990830496,9822977.658632435,0
2010-02-16,9124076.0,9409087.201955725,9095574.879804427,9254189.809588483,0
2010-02-17,8984047.0,9137705.183172414,8958024.243172415,9002634.683448276,0
2010-02-18,8768432.0,9015028.660260033,8742409.23685698,8972896.567552289,0
2010-02-19,8791976.0,8919611.45144468,8674253.981677238,8847739.061310783,0
2010-02-22,8846499.0,8944394.142316852,8690362.443899706,8696558.338983051,0
2010-02-23,9202145.0,9298800.980339348,8863849.06881228,8865088.2480474,0
2010-02-24,8914655.0,9084422.547261607,8805607.232415901,9043529.63441757,0
2010-02-25,8852695.0,9368193.477043673,8852695.0,9195947.59168533,0
2010-02-26,8804370.0,9007595.429978888,8774629.69317382,8922092.047853624,0
2010-03-01,8416505.0,8707712.107626619,8389243.058009423,8701516.21171967,0
2010-03-02,8352069.5,8402875.857492581,8200889.606973293,8339677.705489614,0
2010-03-03,8352069.5,8415267.652002966,8209563.863130563,8322329.193175074,0
2010-03-04,8247977.5,8421462.603665866,8218237.196514424,8306218.927659255,0
2010-03-05,7882417.5,8096795.463763559,7841524.593617355,8042271.5885867,0
2010-03-08,7817983.0,7845244.947376763,7769655.002377557,7830374.794262165,0
2010-03-09,7682911.0,7886136.387741935,7558993.080645162,7886136.387741935,1
2010-03-10,7498273.5,7628387.318790283,7448706.330937035,7614756.347297967,0
2010-03-11,7425163.5,7583778.474632843,7420206.782042724,7544124.730974633,0
2010-03-12,7414009.5,7483403.538442253,7330984.489720875,7330984.489720875,0
2010-03-15,7458621.5,7607323.04178435,7407815.139890348,7464817.397574348,0
2010-03-16,7314875.5,7453663.58334745,7288852.734372353,7392943.79688294,0
2010-03-17,7280178.5,7311157.982978723,7158738.926723404,7290091.934553191,0
2010-03-18,7193436.5,7286374.956072352,7163696.194056848,7238046.958914729,0
2010-03-19,7323549.0,7386747.13857868,7110410.179695431,7323549.0,1
2010-03-22,7117845.0,7422683.069289695,7027384.922527855,7391703.590703343,1
2010-03-23,6976580.0,7166174.447602131,6951796.412078152,7080671.069271758,1
2010-03-24,7050931.0,7111650.792442882,7002603.001933217,7011277.257996486,1
2010-03-25,7109173.0,7117847.256754402,6815487.449886701,6899751.658358027,1
2010-03-26,7065801.0,7183523.044019641,6930730.444230095,7014994.644159944,1
2010-03-29,6974099.5,7024905.83964108,6912140.5492181955,6969142.783937456,0
2010-03-30,6905946.0,7026146.387941862,6846465.395657635,6913381.0755427955,0
2010-03-31,6981537.0,7034821.716187433,6883641.823748669,6980297.8205537805,1
2010-04-01,6996406.0,7153781.7637265315,6780788.811902232,6917098.528515763,1
2010-04-05,6803094.5,7003841.550819673,6759723.223588343,6962948.63306011,1
2010-04-06,6748570.0,6883640.534337128,6687850.218508997,6855139.412412779,1
2010-04-07,6783267.5,6898511.175100476,6703960.024662039,6796898.472323712,1
2010-04-08,6759723.5,6948078.765261228,6721308.939321723,6853901.132630614,0
2010-04-09,6632087.0,6786984.398168908,6620934.387331839,6734938.872384155,0
2010-04-12,6611020.5,6649435.052108715,6560214.156888472,6613498.858200562,0
2010-04-13,6506931.5,6669264.013140354,6498257.243572653,6633327.807941345,1
2010-04-14,6280160.5,6431340.369968429,6276442.962213892,6406556.784727704,1
2010-04-15,6203332.0,6280161.121853775,6179787.591689971,6280161.121853775,1
2010-04-16,6399122.5,6530475.518009295,6197136.2553253295,6261573.584914794,2
2010-04-19,6426383.0,6655631.140185114,6374337.476282299,6485863.598534516,2
2010-04-20,6339642.0,6448689.790461298,6283878.925332291,6319815.129007037,1
2010-04-21,6213245.0,6323531.957518947,6161199.469485441,6202092.386318309,1
2010-04-22,6116589.0,6495777.864262561,6098001.310575365,6397882.699959482,2
2010-04-23,6042238.0,6178547.716981132,6023650.311320755,6122784.650943396,1
2010-04-26,6083130.5,6106674.904053779,5988952.8837848855,6026128.258606642,1
2010-04-27,6456124.0,6509408.708637236,6071978.426103647,6146329.182341651,2
2010-04-28,6446211.5,6596152.213475586,6350794.682333718,6350794.682333718,3
2010-04-29,6112871.5,6356989.82262315,6079413.6588282995,6356989.82262315,2
2010-04-30,6474711.5,6487103.2923444975,6093044.295789474,6122784.597416268,2
2010-05-03,6199613.5,6399121.349990006,6109153.418948631,6395403.812412553,1
2010-05-04,6760962.5,6882402.075696481,6428862.4358504405,6431340.7945381235,3
2010-05-05,6851423.0,7081910.3716766145,6728744.237655995,6948078.994574064,3
2010-05-06,7549080.0,9344650.735390676,5892297.340774787,6992688.5160866715,5
2010-05-07,8043511.5,8556531.644969959,7433835.385687876,7720085.756431983,5
2010-05-10,6874966.5,7098018.765681326,6846465.377162942,7053408.312545061,4
2010-05-11,6867531.0,7100496.685312162,6593672.401840491,7049690.3390472755,3
2010-05-12,6493299.0,6793180.366030535,6468515.416030535,6772114.3196564885,2
2010-05-13,6794420.0,6830356.199161043,6417709.498449754,6570128.550063834,2
2010-05-14,7182283.5,7417727.576086956,6945600.244565217,6949317.782608695,3
2010-05-17,7127759.0,7572624.347878998,7034820.556849791,7130237.358484006,2
2010-05-18,7405336.0,7495796.095046855,6894794.093708166,6939404.551539492,2
2010-05-19,7582539.0,7827896.529334859,7314876.240725609,7487122.183036444,4
2010-05-20,8323567.0,8471029.330355814,7969161.735447373,8002619.575107936,4
2010-05-21,8231869.0,8918374.40809875,7960488.703296703,8825435.950323649,5
2010-05-24,8173627.0,8247977.761067314,7888615.749241965,8171148.641297757,3
2010-05-25,8236824.0,9023702.77839627,8184778.474499774,8788258.734466678,5
